"link","argentino","otro_pais"
64120303,1376,76
64120304,1347,48
64120305,1294,71
64120306,904,58
64120307,1315,53
64120308,1034,30
64120309,946,31
64120310,1098,25
64120311,1171,32
64120312,465,19
64120313,628,28
64120401,1349,53
64120402,1204,68
64120403,1487,42
64120404,1617,52
64120405,914,31
64120406,987,23
64120407,1166,18
64120408,690,14
64120409,686,17
64120410,1293,33
64120411,1273,36
64120412,1618,36
64120501,726,24
64120502,1017,50
64120503,1072,37
64120504,761,13
64120505,619,26
64120506,649,32
64120507,1053,40
64120508,1188,26
64120509,1474,60
64120510,1394,66
64120511,1103,41
64120512,1035,30
64120513,1288,26
64120514,932,26
64120601,486,33
64120602,839,40
64120603,804,50
64120604,862,85
64120605,694,72
64120606,1167,43
64120607,1321,47
64120608,1586,47
64120609,991,28
64120610,927,20
64120611,1653,75
64120612,1127,88
64120613,1046,61
64120701,1416,42
64120702,1450,47
64120703,1465,84
64120704,1043,38
64120705,948,22
64120706,888,29
64120707,848,10
64120708,1060,45
64120709,595,48
64120710,1397,45
64120711,1358,38
64120712,1287,56
64120713,1325,75
64120714,1052,61
64120715,961,22
64120716,1012,24
64120717,1002,46
64120801,1533,65
64120802,1315,39
64120803,732,20
64120804,841,39
64120805,791,30
64120806,1227,30
64120807,1070,33
64120808,937,41
64120809,1181,35
64120810,1163,49
64120811,1038,55
64120812,1013,83
64120813,1457,68
64120814,1313,22
64120815,1061,50
64120901,720,202
64120902,966,148
64120903,1240,263
64120904,1372,131
64120905,1343,111
64120906,263,12
64120907,480,47
64120908,1405,89
64120909,1300,134
64120910,1417,47
64120911,1533,122
64120912,871,90
64120913,853,142
64120914,1538,180
64120915,1396,93
64120916,828,53
64120917,760,104
64120918,1463,159
64121001,1425,125
64121002,1334,87
64121003,1436,161
64121004,1628,133
64121005,1364,126
64121006,1235,99
64121007,1158,63
64121008,1412,77
64121009,951,74
64121010,1016,199
64121011,1149,102
64121012,898,42
64121013,902,88
64121014,1461,111
64121015,1192,50
64121016,1479,26
64121017,1981,62
64121018,1453,29
64121019,1730,27
64121020,1597,28
64121021,1362,27
64121101,1365,209
64121102,888,345
64121103,1738,97
64121104,934,85
64121105,1482,120
64121106,1288,36
64121107,1036,46
64121108,1037,24
64121109,1083,20
64121110,820,51
64121111,1084,36
64121112,894,39
64121113,941,49
64121114,885,55
64121115,1285,47
64121116,1001,173
64121117,805,42
64121118,1297,69
64121119,1512,116
64121120,1867,97
64121201,1173,53
64121202,1297,62
64121203,1489,105
64121204,1599,74
64121205,1744,39
64121206,1307,83
64121207,1538,215
64121208,1433,36
64121209,1422,159
64121301,1298,45
64121302,1429,31
64121303,820,29
64121304,946,25
64121305,1822,34
64121306,1672,44
64121307,1208,94
64121308,1577,33
64121309,999,34
64121310,838,19
64121311,1148,52
64121312,1326,330
64121401,828,25
64121402,1110,49
64121403,1731,79
64121404,1004,67
64121405,1093,69
64121406,1446,31
64121407,1486,30
64121408,1592,37
64121409,1200,29
64121410,1250,53
64121411,1379,40
64121412,1496,57
64121413,1075,51
64121501,883,38
64121502,1534,43
64121503,1688,52
64121504,1355,38
64121505,910,21
64121506,1065,33
64121507,1103,29
64121508,1007,29
64121509,1027,18
64121510,1044,25
64121511,1325,60
64121512,1705,131
64270101,385,29
64270102,329,35
64270103,950,81
64270104,253,10
64270105,212,17
64270106,973,57
64270107,893,58
64270108,628,27
64270109,567,28
64270110,759,39
64270111,830,67
64270112,658,28
64270113,652,150
64270201,673,69
64270202,563,37
64270203,274,35
64270204,635,43
64270205,468,21
64270206,360,14
64270207,533,30
64270208,584,40
64270209,614,39
64270210,605,69
64270211,174,24
64270212,656,35
64270213,480,47
64270214,471,17
64270215,422,22
64270216,340,38
64270217,573,53
64270218,759,42
64270301,560,41
64270302,796,45
64270303,517,32
64270304,563,30
64270305,687,22
64270306,952,74
64270307,724,20
64270308,683,40
64270309,537,39
64270310,767,44
64270311,840,56
64270312,884,70
64270401,828,113
64270402,1086,65
64270403,1305,100
64270404,782,63
64270405,953,62
64270406,928,65
64270407,930,65
64270408,976,86
64270409,1183,138
64270501,1536,125
64270502,817,61
64270503,819,55
64270504,1278,101
64270505,1234,145
64270506,1166,97
64270507,1258,148
64270508,611,88
64270509,645,64
64270510,824,76
64270511,881,95
64270601,1063,48
64270602,1544,131
64270603,933,119
64270604,1704,168
64270605,549,58
64270606,595,90
64270607,625,62
64270608,527,65
64270609,1029,107
64270610,657,76
64270611,623,76
64270612,715,87
64270613,747,76
64270614,700,105
64270701,1122,113
64270702,1157,102
64270703,935,74
64270704,968,110
64270705,1098,92
64270706,763,76
64270707,562,62
64270708,737,98
64270709,842,77
64270710,1654,118
64270711,1000,85
64270712,1255,114
64270713,958,86
64270801,1166,213
64270802,1290,53
64270803,1023,113
64270804,1344,164
64270805,1079,127
64270806,1467,116
64270807,1183,88
64270808,613,94
64270809,606,66
64270810,1471,156
64270811,1209,118
64270812,1357,155
64270901,1368,126
64270902,1231,76
64270903,1836,140
64270904,1785,250
64270905,1469,110
64270906,1447,492
64270907,1177,116
64270908,944,160
64270909,562,96
64270910,1004,171
64270911,933,246
64270912,1045,127
64271001,1369,121
64271002,804,59
64271003,786,51
64271004,1281,127
64271005,1232,116
64271006,1048,115
64271007,1141,189
64271008,1143,138
64271009,1451,140
64271010,652,65
64271011,524,69
64271012,1200,107
64271101,1151,146
64271102,991,187
64271103,1398,122
64271104,986,99
64271105,962,79
64271106,1089,186
64271107,947,139
64271108,1240,124
64271109,1137,128
64271110,793,79
64271111,740,82
64271201,1288,163
64271202,1221,114
64271203,489,54
64271204,614,64
64271205,1146,89
64271206,1168,124
64271207,703,61
64271208,602,52
64271209,677,92
64271210,671,64
64271301,1260,105
64271302,1354,137
64271303,899,92
64271304,1829,94
64271305,1766,114
64271306,829,54
64271307,767,50
64271308,954,43
64271309,997,65
64271310,1248,87
64271311,1244,107
64271401,1109,108
64271402,1050,126
64271403,1137,133
64271404,1215,123
64271405,1355,325
64271406,461,55
64271407,1973,71
64271408,2923,682
64271409,1006,328
64271410,2010,894
64271411,2298,693
64271412,590,303
64271413,2461,73
64271414,486,83
64271415,779,153
64271416,1220,108
64271417,775,105
64271418,693,90
64271419,968,107
64271420,688,74
64271501,669,249
64271502,626,215
64271503,702,16
64271504,1144,59
64271505,760,64
64271506,886,88
64271507,584,228
64271508,632,221
64271509,530,267
64271510,586,241
64271511,472,282
64271512,1056,244
64271513,546,199
64271514,695,479
64271515,852,132
64271601,1196,108
64271602,1231,58
64271603,1163,174
64271604,681,544
64271605,1161,962
64271606,734,680
64271607,1034,335
64271608,867,73
64271609,1267,134
64271610,703,74
64271611,1021,75
64271612,993,40
64271613,480,18
64271701,1147,51
64271702,856,16
64271703,860,524
64271704,818,98
64271705,762,147
64271706,714,290
64271707,3018,2834
64271708,1515,581
64271709,899,182
64271710,1934,333
64271711,2197,2242
64271801,1442,409
64271802,1447,632
64271803,720,685
64271804,1651,1242
64271805,3175,1529
64271806,119,104
64271807,1782,678
64271808,1609,768
64271809,1948,1094
64271810,1204,709
64271811,1159,671
64271812,243,124
64271813,3642,1415
64271901,758,56
64271902,652,37
64271903,1413,100
64271904,882,56
64271905,732,39
64271906,1205,105
64271907,1105,75
64271908,1258,61
64271909,1303,69
64271910,969,79
64272001,989,96
64272002,809,73
64272003,842,62
64272004,672,45
64272005,502,32
64272006,1013,100
64272007,706,31
64272008,745,29
64272009,903,48
64272010,949,92
64272011,1262,140
64272012,398,6
64272013,631,26
64272014,2703,61
64272015,1242,54
64272016,2434,98
64272101,1383,112
64272102,1466,135
64272103,1570,136
64272104,1503,116
64272105,903,138
64272106,1026,191
64272107,868,124
64272108,1139,142
64272201,816,100
64272202,661,95
64272203,1275,149
64272204,1181,157
64272205,894,166
64272206,1009,127
64272207,1197,135
64272208,891,56
64272209,1113,95
64272301,386,40
64272302,1024,135
64272303,1649,223
64272304,1542,167
64272305,1036,146
64272306,1142,166
64272307,1113,146
64272308,1372,138
64272309,1711,215
64272310,1449,218
64272311,1573,223
64272401,1124,139
64272402,842,23
64272403,2090,178
64272404,864,189
64272405,1870,318
64272406,1041,139
64272407,1700,149
64272408,1065,99
64272409,1076,109
64272410,809,145
64272501,642,51
64272502,782,71
64272503,1039,120
64272504,915,93
64272505,1959,210
64272506,805,143
64272507,487,90
64272508,450,59
64272509,969,144
64272510,3641,286
64272511,2503,487
64272512,2770,523
64272513,487,56
64272514,492,51
64272515,686,269
64272601,606,50
64272602,949,95
64272603,1240,132
64272604,1236,127
64272605,953,118
64272606,653,77
64272607,1460,129
64272608,990,144
64272609,1083,118
64272610,910,100
64272611,1117,116
64272701,1591,162
64272702,540,46
64272703,706,72
64272704,711,68
64272705,757,59
64272706,939,91
64272707,1106,71
64272708,1058,107
64272709,1229,166
64272801,1004,67
64272802,687,29
64272803,763,41
64272804,776,54
64272805,690,77
64272806,1104,89
64272807,994,102
64272808,811,73
64272809,708,44
64272810,1150,73
64272811,900,88
64272812,1020,66
64272901,1112,53
64272902,1004,73
64272903,645,26
64272904,673,42
64272905,880,73
64272906,886,58
64272907,1238,78
64272908,1226,83
64272909,503,40
64272910,565,16
64272911,1243,100
64272912,1204,94
64272913,941,63
64272914,1126,80
64273001,688,30
64273002,1024,78
64273003,647,48
64273004,618,31
64273005,404,18
64273006,819,53
64273007,801,57
64273008,398,21
64273009,421,31
64273010,655,65
64273011,343,18
64273012,580,32
64273013,911,46
64273101,622,22
64273102,808,45
64273103,1030,42
64273104,848,45
64273105,1224,52
64273106,969,55
64273107,758,40
64273108,448,17
64273109,717,31
64273110,748,60
64273201,642,58
64273202,781,40
64273203,657,52
64273204,689,47
64273205,1076,70
64273206,729,38
64273207,1037,42
64273208,1140,162
64273209,588,20
64273210,593,37
64273211,708,37
64273212,618,32
64273301,651,39
64273302,1079,49
64273303,629,36
64273304,372,18
64273305,580,32
64273306,467,22
64273307,569,27
64273308,806,39
64273309,732,33
64273310,908,52
64273311,925,48
64273312,1487,70
64273313,869,50
64273314,1151,75
64273315,812,37
64273401,1012,39
64273402,827,25
64273403,1426,78
64273404,875,78
64273405,968,64
64273406,1794,103
64273407,1045,92
64273408,891,67
64273409,1161,64
64273410,710,40
64273411,661,39
64273412,1354,99
64273413,863,52
64273414,896,45
64273415,1260,68
64273501,1114,79
64273502,684,91
64273503,650,87
64273504,657,65
64273505,899,128
64273506,1092,157
64273507,681,43
64273508,952,187
64273509,1270,168
64273510,653,91
64273511,1159,97
64273512,1098,91
64273513,765,71
64273601,681,28
64273602,938,82
64273603,701,70
64273604,645,59
64273605,652,64
64273606,812,31
64273607,420,52
64273608,269,144
64273609,926,123
64273610,773,101
64273611,852,85
64273612,476,54
64273701,479,82
64273702,621,64
64273703,603,73
64273704,1238,150
64273705,836,82
64273706,1561,175
64273707,1291,162
64273708,1054,114
64273709,1380,125
64273710,1841,208
64273801,1301,94
64273802,1303,156
64273803,2135,164
64273804,863,81
64273805,1016,99
64273806,961,111
64273807,1273,100
64273808,1214,114
64273809,488,54
64273810,1204,124
64273901,1594,141
64273902,1090,143
64273903,802,96
64273904,1276,149
64273905,1349,135
64273906,894,111
64273907,956,85
64273908,72,23
64273909,1312,83
64273910,953,173
64273911,1146,56
64274001,1189,157
64274002,1588,139
64274003,953,69
64274004,1580,116
64274005,1334,71
64274006,1336,69
64274007,3152,270
64274008,2337,150
64274009,734,25
64274010,1998,104
64274011,1672,93
64274012,846,50
64274101,2095,118
64274102,2383,130
64274103,2122,90
64274104,1278,99
64274105,1186,77
64274106,1520,181
64274107,3624,356
64274108,2294,334
64274109,1996,364
64274110,831,459
64274201,1449,46
64274202,1646,108
64274203,2225,51
64274204,2013,139
64274205,1339,167
64274206,952,97
64274207,835,95
64274208,732,59
64274209,1599,89
64274210,778,39
64274211,952,58
64274301,1228,132
64274302,1296,103
64274303,1386,75
64274304,1047,99
64274305,1334,106
64274306,1523,99
64274307,1118,102
64274308,1040,101
64274309,1082,93
64274310,937,57
64274311,961,77
64274401,1784,104
64274402,912,69
64274403,1393,108
64274404,1187,130
64274405,559,58
64274406,731,92
64274407,589,67
64274408,653,65
64274409,631,92
64274410,881,118
64274411,595,64
64274412,1347,111
64274501,1728,102
64274502,1160,61
64274503,902,43
64274504,1415,54
64274505,973,29
64274506,839,41
64274507,1701,77
64274508,1706,57
64274509,961,31
64274510,1116,94
64274511,1114,68
64274601,1235,60
64274602,906,90
64274603,1967,144
64274604,1754,296
64274605,1778,122
64274606,1862,169
64274607,1169,143
64274608,730,59
64274609,3920,461
64274610,1072,66
64274611,1179,85
64274612,1415,137
64274613,1516,106
64274701,910,74
64274702,1273,114
64274703,722,59
64274704,705,35
64274705,845,42
64274706,795,88
64274707,1193,78
64274708,881,39
64274709,743,51
64274710,1042,88
64274711,878,78
64274712,2529,184
64274801,926,90
64274802,1949,156
64274803,1682,75
64274804,1289,55
64274805,880,43
64274806,2058,113
64274807,1297,101
64274808,1711,102
64274809,1509,104
64274810,1578,167
64274811,1550,253
64274812,1786,78
64274813,1306,61
64274814,1630,94
64274901,2088,125
64274902,1108,50
64274903,1366,44
64274904,1453,134
64274905,1278,123
64274906,2588,122
64274907,1500,331
64274908,1133,357
64274909,1763,366
64274910,1510,102
64274911,904,24
64274912,929,138
64275001,1294,85
64275002,1055,59
64275003,1180,44
64275004,1274,38
64275005,1111,66
64275006,1506,80
64275007,1236,84
64275008,974,91
64275009,898,136
64275010,1126,82
64275011,1228,112
64275012,1464,59
64275013,871,49
64275101,1102,34
64275102,1155,45
64275103,921,55
64275104,947,93
64275105,1059,49
64275106,907,43
64275107,1089,132
64275108,1553,175
64275109,1223,89
64275110,1227,125
64275111,1100,91
64275112,1029,92
64275113,1426,67
64275114,1578,76
64275115,238,92
64275201,1703,312
64275202,1775,231
64275203,1252,170
64275204,1408,194
64275205,1251,505
64275206,1354,355
64275207,1086,334
64275208,1210,359
64275209,1710,392
64275210,939,384
64275211,917,306
64275212,1123,505
64275213,1459,504
64275301,1994,212
64275302,864,323
64275303,947,69
64275304,1765,322
64275305,1738,671
64275306,2202,80
64275307,1733,104
64275308,1645,94
64275309,739,36
64275310,1899,66
64275401,1621,104
64275402,2011,230
64275403,1172,151
64275404,1024,178
64275405,808,296
64275406,860,174
64275407,1424,198
64275408,1197,248
64275409,1642,101
64275410,3644,200
64275411,1097,170
64275412,1495,156
64275501,832,66
64275502,723,71
64275503,746,50
64275504,851,54
64275505,1399,110
64275506,1516,75
64275507,771,69
64275508,1096,60
64275509,1113,89
64275510,1515,137
64275511,1666,146
64275512,1774,173
64275513,1517,131
64275601,1007,59
64275602,1684,79
64275603,5724,171
64275604,869,67
64275605,1006,46
64275606,1515,156
64275607,680,26
64275608,1090,70
64275609,1164,58
64275610,1310,75
64275611,1089,48
64275612,1349,66
64275613,923,95
64275701,1276,62
64275702,1147,68
64275703,1056,39
64275704,1115,41
64275705,1189,43
64275706,1446,94
64275707,1413,96
64275708,935,78
64275709,679,51
64275710,1081,36
64275711,934,44
64275712,1410,77
64275713,1581,95
64275714,825,24
64275715,735,28
64275801,1632,102
64275802,1436,120
64275803,1190,137
64275804,1330,74
64275805,850,40
64275806,837,38
64275807,1281,82
64275808,1582,111
64275809,480,76
64275810,1055,66
64275811,803,63
64275812,914,63
64275813,977,59
64275814,862,29
64275815,2274,107
64275901,1841,141
64275902,630,39
64275903,1915,151
64275904,960,63
64275905,1815,117
64275906,814,68
64275907,790,91
64275908,1164,63
64275909,860,53
64275910,1114,89
64275911,1137,125
64275912,976,68
64275913,964,51
64276001,1886,142
64276002,1493,65
64276003,1350,77
64276004,1163,48
64276005,1820,81
64276006,1983,188
64276007,1888,124
64276008,2103,152
64276009,1837,96
64276010,1467,91
64276011,1705,69
64276012,1219,108
64276013,936,61
64276014,726,40
64276015,898,27
64276016,1494,70
64276017,1025,35
64276018,1066,45
64276101,1885,65
64276102,2082,108
64276103,1577,77
64276104,1879,73
64276105,2266,47
64276106,1223,423
64276107,1661,65
64276108,1802,70
64276109,2043,55
64276110,2095,115
64276111,976,65
64276112,1092,44
64276113,1156,95
64276114,1236,136
64276201,1103,59
64276202,1540,101
64276203,1182,61
64276204,1182,64
64276205,2494,127
64276206,1230,42
64276207,1142,97
64276208,765,64
64276209,1253,52
64276210,1961,92
64276211,1171,243
64276212,1153,42
64276213,1418,68
64276214,822,35
64276215,1044,56
64276216,1458,41
64276301,1675,136
64276302,450,31
64276303,1211,60
64276304,1082,70
64276305,1120,49
64276306,1496,83
64276307,1344,47
64276308,1557,98
64276309,1962,150
64276310,2469,208
64276311,2120,125
64276312,1456,71
64276401,971,85
64276402,906,109
64276403,1522,262
64276404,844,214
64276405,1239,135
64276406,1058,121
64276407,1657,199
64276408,1012,82
64276409,1670,91
64276410,1781,132
64276411,861,63
64276412,1279,145
64276413,807,98
64276414,1022,103
64276415,1492,149
64276416,2183,203
64276417,894,52
64276501,1837,361
64276502,1662,369
64276503,1203,228
64276504,1996,266
64276505,894,89
64276506,1318,168
64276507,1688,286
64276508,879,111
64276509,782,96
64276510,870,294
64276511,2075,96
64276512,1033,110
64276513,1034,64
64276514,1099,91
64276515,1415,118
64276516,1655,165
64276517,1837,132
64276601,1307,122
64276602,1209,81
64276603,2154,179
64276604,1538,160
64276605,1698,73
64276606,1070,80
64276607,994,90
64276608,1076,178
64276609,1069,92
64276610,1162,133
64276611,1129,100
64276701,1115,308
64276702,1638,455
64276703,836,309
64276704,3175,454
64276705,1266,202
64276706,1474,187
64276707,1261,106
64276708,1180,92
64276709,1067,84
64276710,891,88
64276711,1022,175
64276712,1406,265
64276713,1123,214
64276714,896,345
64276715,1145,245
64276716,1141,201
64276717,1225,217
64276718,1381,379
64276801,988,94
64276802,1213,170
64276803,746,53
64276804,872,100
64276805,805,92
64276806,1202,120
64276807,893,109
64276808,1000,130
64276809,973,158
64276810,826,88
64276901,1082,55
64276902,1433,120
64276903,1344,84
64276904,1411,137
64276905,2542,354
64276906,1192,89
64276907,1370,117
64276908,1074,112
64276909,1705,201
64276910,586,85
64276911,749,77
64276912,858,86
64276913,1514,108
64276914,1372,77
64276915,1432,61
64276916,1113,68
64276917,1407,57
64277001,2033,65
64277002,1246,88
64277003,1235,72
64277004,1810,84
64277005,1569,68
64277006,1159,67
64277007,988,66
64277008,1524,100
64277009,1265,65
64277010,1033,59
64277011,994,54
64277012,1525,104
64277013,839,34
64277014,1119,64
64277015,891,34
64277016,920,35
64277017,895,69
64277018,844,36
64277101,1195,111
64277102,1355,129
64277103,914,98
64277104,843,67
64277105,782,79
64277106,833,70
64277107,1490,168
64277108,818,57
64277109,881,58
64277110,731,71
64277111,995,91
64277112,1713,114
64277113,1537,100
64277114,1558,97
64277115,1340,106
64277116,1516,98
64277201,2447,146
64277202,997,95
64277203,878,104
64277204,1121,191
64277205,1381,209
64277206,912,130
64277207,985,107
64277208,901,89
64277209,1162,111
64277210,1067,136
64277211,1709,96
64277212,1356,58
64277301,1686,141
64277302,1924,124
64277303,1290,98
64277304,1149,87
64277305,1464,114
64277306,1432,178
64277307,3079,163
64277308,1839,150
64277309,1885,137
64277310,1891,137
64277311,1083,54
64277312,1183,49
64277313,1683,103
64277314,1238,67
64277315,1326,73
64277316,976,364
64277401,1828,88
64277402,2076,134
64277403,1808,82
64277404,1636,121
64277405,1523,66
64277406,1898,84
64277407,1619,64
64277408,1506,83
64277409,957,67
64277410,1611,178
64277411,2944,163
64277412,1558,154
64277413,1121,56
64277414,1637,68
64277415,1500,75
64277416,1154,41
64277417,1252,83
64277418,4192,492
64277501,1772,416
64277502,2165,486
64277503,1136,462
64277504,1934,299
64277505,1661,420
64277506,1367,352
64277507,1042,635
64277508,1148,368
64277509,1125,235
64277510,1407,474
64277511,1773,189
64277512,1334,141
64277513,1371,158
64277514,1168,89
64277515,1378,134
64277516,1468,132
64277601,1392,402
64277602,2062,188
64277603,2339,245
64277604,1864,159
64277605,1735,136
64277606,1547,82
64277607,2167,151
64277608,1854,139
64277609,1758,174
64277610,1695,234
64277611,2077,235
64277612,2205,167
64277613,864,72
64277614,1051,92
64277615,1868,187
64277616,1931,131
64277617,1070,83
64277618,1019,59
64277701,1377,64
64277702,1554,76
64277703,1668,180
64277704,1717,233
64277705,1078,114
64277706,1791,99
64277707,1246,159
64277708,944,149
64277709,896,104
64277710,1536,181
64277711,1224,107
64277712,1725,184
64277713,1121,56
64277714,990,91
64277715,884,120
64277716,970,66
64277801,3105,153
64277802,2889,137
64277803,1485,93
64277804,1144,130
64277805,1445,313
64277806,993,226
64277807,1414,207
64277808,1015,85
64277809,1108,98
64277810,1360,92
64277811,1081,113
64277812,1503,122
64277813,1500,281
64277901,2391,195
64277902,893,149
64277903,1078,179
64277904,1278,101
64277905,1648,197
64277906,1092,102
64277907,837,116
64277908,886,116
64277909,921,104
64277910,1548,109
64277911,1753,121
64278001,3440,397
64278002,1721,90
64278003,1863,132
64278004,991,73
64278005,1492,144
64278006,1737,141
64278007,1291,139
64278008,1655,113
64278009,1271,72
64278010,768,54
64278011,856,178
64278012,711,342
64278013,778,128
64278014,1125,35
64278015,868,55
64278016,937,330
64278101,1752,167
64278102,1265,86
64278103,1485,43
64278104,1395,57
64278105,711,305
64278106,598,227
64278107,620,205
64278108,114,30
64278109,365,56
64278110,450,70
64278111,807,344
64278112,239,36
64278201,1813,216
64278202,1083,168
64278203,1455,92
64278204,1104,113
64278205,1794,92
64278206,1990,80
64278207,1904,166
64278208,1608,151
64278209,3110,181
64278210,1337,108
64278211,1327,122
64278212,1081,81
64278213,1178,125
64278301,1265,82
64278302,1424,77
64278303,1489,120
64278304,1752,84
64278305,2016,101
64278306,1488,122
64278307,1069,109
64278308,1247,176
64278309,1243,142
64278310,1312,124
64278311,1240,46
64278312,1342,67
64278313,1603,97
64278314,1334,69
64278401,882,53
64278402,875,175
64278403,1188,143
64278404,1498,122
64278405,1798,104
64278406,1137,90
64278407,1435,115
64278408,1510,141
64278409,1859,462
64278410,993,434
64278411,1466,450
64278412,1023,429
64278413,1350,673
64278414,417,475
64278415,1841,519
64278416,1473,143
64278417,1640,129
64278501,2168,65
64278502,1975,132
64278503,1529,69
64278504,1155,23
64278505,1176,45
64278506,1399,60
64278507,1611,52
64278508,818,43
64278509,1706,88
64278510,889,43
64278511,1475,65
64278512,1534,55
64278513,1717,127
64278601,1242,106
64278602,1049,120
64278603,1256,61
64278604,1280,43
64278605,1142,26
64278606,1051,38
64278607,1548,77
64278608,1059,38
64278609,1145,68
64278610,1085,43
64278611,1229,42
64278612,1087,55
64278613,1392,88
64278614,1401,69
64278701,1152,103
64278702,1203,53
64278703,909,67
64278704,1313,104
64278705,1605,157
64278706,1000,88
64278707,1239,86
64278708,1612,84
64278709,1092,42
64278710,1258,47
64278711,155,2
64278712,896,66
64278713,1128,57
64278714,1069,39
64278715,874,45
64278801,1302,101
64278802,1957,110
64278803,1967,152
64278804,1893,171
64278805,2417,174
64278806,948,95
64278807,1173,88
64278808,1491,177
64278809,1498,128
64278810,1261,107
64278811,683,68
64278812,1077,75
64278813,1337,147
64278901,3375,425
64278902,2371,165
64278903,2241,52
64278904,2279,82
64278905,1971,192
64278906,1917,93
64278907,2173,298
64278908,1952,176
64278909,1035,36
64278910,1323,79
64278911,1980,108
64278912,2094,156
64278913,2056,106
64278914,2164,274
64279001,1597,59
64279002,1789,153
64279003,864,21
64279004,1164,111
64279005,1014,48
64279006,1252,39
64279007,931,56
64279008,1376,42
64279009,2510,106
64279010,2383,89
64279011,1067,29
64279012,982,35
64279013,896,58
64279014,1294,95
64279101,2087,187
64279102,989,114
64279103,1558,225
64279104,1287,146
64279105,893,62
64279106,1003,52
64279107,1147,56
64279108,1282,97
64279109,1020,101
64279110,729,34
64279111,753,120
64279112,2160,159
64279113,441,31
64279114,397,28
64279115,388,16
64279116,282,14
64279201,1512,225
64279202,1625,152
64279203,911,82
64279204,1777,147
64279205,1650,156
64279206,1893,268
64279207,1947,397
64279208,1609,485
64279209,1576,308
64279210,1676,145
64279211,1658,88
64279212,1178,116
64279213,1295,74
64279214,1530,74
64279215,958,41
64279216,1328,82
64279217,975,42
64279218,831,48
64279219,1559,58
64279301,1397,226
64279302,1566,254
64279303,1225,249
64279304,1364,315
64279305,1155,405
64279306,1988,123
64279307,1590,253
64279308,1527,236
64279309,1480,109
64279310,1476,66
64279311,1903,62
64279312,1500,96
64279313,1741,65
64279314,1707,86
64279315,1512,397
64279401,1967,79
64279402,1733,111
64279403,1822,94
64279404,1951,76
64279405,2263,110
64279406,2610,116
64279407,1193,174
64279408,974,248
64279409,1483,89
64279410,1408,67
64279411,1629,74
64279412,1660,64
64279413,1497,56
64279501,1249,70
64279502,1615,122
64279503,1979,132
64279504,2187,259
64279505,1668,297
64279506,1467,297
64279507,4222,519
64279508,2049,249
64279509,1426,140
64279510,1559,182
64279511,1555,154
64279512,2042,189
64279513,1409,140
64279514,1443,143
64279601,1665,259
64279602,1276,405
64279603,1357,337
64279604,2362,496
64279605,1856,247
64279606,1844,152
64279607,1270,79
64279608,1759,130
64279609,1947,107
64279610,1958,243
64279611,1193,82
64279612,1547,170
64279613,124,28
64279614,1732,170
64279615,848,50
64279616,475,24
64279701,1243,86
64279702,4454,149
64279703,2031,187
64279704,1714,143
64279705,722,143
64279706,1973,147
64279707,1771,103
64279708,1541,80
64279709,1035,54
64279710,795,87
64279711,317,38
64279712,526,44
64279713,949,16
64279714,1363,45
64279715,750,20
64279716,582,19
64279717,1041,66
64279718,680,33
64279719,761,38
64279720,1342,102
64279721,1056,160
64279722,704,95
64279723,1118,54
64279724,855,42
64340101,1159,707
64340102,751,76
64340103,735,43
64340104,809,100
64340105,915,84
64340106,924,141
64340107,692,95
64340108,774,103
64340109,634,77
64340110,852,70
64340111,828,59
64340201,691,71
64340202,161,16
64340203,747,78
64340204,611,36
64340205,729,49
64340206,752,47
64340207,154,11
64340208,493,68
64340209,136,14
64340210,481,62
64340211,911,81
64340212,773,61
64340301,899,86
64340302,720,47
64340303,1422,107
64340304,855,50
64340305,849,75
64340306,662,57
64340307,890,71
64340308,1259,126
64340309,1366,119
64340310,863,66
64340401,923,69
64340402,749,77
64340403,718,40
64340404,568,39
64340405,606,62
64340406,933,71
64340407,616,40
64340408,371,23
64340409,531,18
64340410,927,72
64340501,1173,81
64340502,1115,78
64340503,682,74
64340504,785,50
64340505,982,45
64340506,688,52
64340507,985,58
64340508,844,50
64340601,916,58
64340602,883,62
64340603,995,79
64340604,944,64
64340605,736,59
64340606,1020,55
64340607,924,49
64340608,1008,64
64340609,1132,72
64340701,740,99
64340702,865,29
64340703,841,69
64340704,650,27
64340705,891,119
64340706,476,23
64340707,3820,249
64340708,493,33
64340709,528,50
64340710,628,42
64340711,503,36
64340801,578,57
64340802,1306,92
64340803,678,59
64340804,978,79
64340805,883,55
64340806,1550,180
64340807,834,39
64340808,326,23
64340809,972,93
64340810,1268,166
64340811,1150,100
64340812,1621,85
64340813,1078,132
64340814,704,33
64340815,1413,102
64340816,1243,118
64340901,853,65
64340902,1213,136
64340903,1292,85
64340904,802,80
64340905,729,94
64340906,972,114
64340907,984,67
64340908,971,53
64340909,1104,70
64340910,1001,49
64340911,798,53
64340912,879,49
64340913,907,89
64340914,1321,63
64340915,1158,55
64340916,1110,32
64340917,694,56
64340918,991,64
64341001,957,48
64341002,460,49
64341003,556,44
64341004,665,40
64341005,669,56
64341006,965,67
64341007,984,65
64341008,997,75
64341009,1082,69
64341010,1140,57
64341011,1556,52
64341012,990,55
64341101,984,64
64341102,1262,69
64341103,747,68
64341104,856,66
64341105,765,41
64341106,833,51
64341107,599,48
64341108,740,34
64341109,819,35
64341110,573,27
64341111,912,36
64341112,1125,67
64341113,1072,87
64341114,760,44
64341201,928,63
64341202,1082,50
64341203,905,48
