"link","argentino","otro_pais"
60283102,744,46
60283103,807,29
60283104,538,23
60283105,699,41
60283106,1165,63
60283107,1274,93
60283108,834,20
60283109,994,41
60283110,1423,43
60283111,1082,66
60283112,898,37
60283201,834,30
60283202,739,18
60283203,992,35
60283204,800,20
60283205,650,22
60283206,753,30
60283207,930,33
60283208,1244,57
60283209,1407,47
60283301,1695,425
60283302,1346,59
60283303,790,38
60283304,795,46
60283305,725,15
60283306,1,1
60283307,1357,142
60283308,1334,75
60283309,1051,50
60283310,790,40
60283311,1052,43
60283312,1161,63
60283313,1412,80
60283314,1688,231
60283401,939,31
60283402,1275,75
60283403,1273,46
60283404,1256,44
60283405,976,40
60283406,1104,41
60283407,675,33
60283408,924,24
60283409,1204,58
60283410,1010,51
60283411,956,41
60283412,1114,49
60283501,1340,71
60283502,1411,136
60283503,1238,84
60283504,1020,44
60283505,1749,132
60283506,1379,78
60283507,1573,73
60283508,1005,42
60283509,1627,74
60283601,673,35
60283602,474,15
60283603,723,44
60283604,1315,65
60283605,1543,52
60283606,1461,71
60283607,1378,39
60283608,836,41
60283609,921,28
60283610,1094,74
60283611,1185,46
60283612,961,489
60283613,793,335
60283614,1503,182
60283615,1695,121
60283701,1053,48
60283702,862,56
60283703,977,41
60283704,1136,28
60283705,1265,53
60283706,1441,63
60283707,857,40
60283708,799,36
60283709,878,34
60283710,1235,63
60283711,1281,52
60283712,1474,78
60283713,1012,128
60283714,1110,54
60283801,1971,120
60283802,1258,41
60283803,1310,71
60283804,1429,58
60283805,1067,53
60283806,894,28
60283807,727,34
60283808,1157,67
60283809,974,48
60283810,919,61
60283811,844,37
60283812,1016,30
60283901,1236,75
60283902,1385,110
60283903,1087,142
60283904,1164,172
60283905,1194,84
60283906,813,138
60283907,887,229
60283908,975,63
60283909,1681,115
60283910,1542,76
60283911,1192,368
60283912,1461,108
60283913,1769,117
60283914,768,63
60283915,920,29
60350101,2172,406
60350102,1528,120
60350103,673,84
60350104,657,66
60350105,432,48
60350106,630,112
60350107,648,127
60350108,431,74
60350109,417,59
60350110,885,131
60350111,760,188
60350201,926,148
60350202,1030,106
60350203,997,184
60350301,934,65
60350302,1202,70
60350303,850,101
60350304,969,30
60350305,714,13
60350306,1011,25
60350307,885,15
60350308,793,27
60350309,520,20
60350310,645,25
60350311,948,34
60350312,716,34
60350313,989,60
60350314,765,46
60350315,876,71
60350401,1192,225
60350402,785,87
60350403,948,133
60350404,1118,244
60350405,1024,121
60350406,924,109
60350407,1016,55
60350408,812,52
60350409,1302,106
60350410,687,45
60350411,1256,97
60350412,832,86
60350413,883,68
60350414,704,24
60350415,671,21
60350501,528,68
60350502,1198,43
60350503,697,33
60350504,1021,122
60350505,2397,835
60350506,1501,178
60350507,1263,227
60350508,940,45
60350509,837,39
60350510,806,46
60350511,708,52
60350512,748,30
60350601,998,88
60350602,1001,82
60350603,900,52
60350604,757,38
60350605,805,76
60350606,904,57
60350607,551,38
60350608,826,54
60350609,1044,93
60350610,849,68
60350611,762,35
60350612,865,82
60350701,638,80
60350702,1029,122
60350703,854,65
60350704,748,92
60350705,763,72
60350706,992,111
60350707,570,28
60350708,304,14
60350709,317,20
60350710,370,33
60350711,575,66
60350712,261,24
60350801,962,24
60350802,648,25
60350803,1106,26
60350804,988,36
60350805,383,31
60350806,658,79
60350807,624,80
60350808,638,42
60350809,750,83
60350810,534,69
60350811,735,64
60350812,3037,173
60350813,1150,167
60350814,642,47
60350815,1499,287
60350901,684,96
60350902,650,26
60350903,549,43
60350904,2363,247
60350905,811,64
60350906,701,53
60350907,897,81
60350908,1154,109
60350909,560,64
60350910,1313,165
60350911,1154,81
60350912,557,76
60350913,762,109
60350914,663,113
60351001,665,79
60351002,1990,123
60351003,722,194
60351004,854,113
60351005,519,50
60351006,710,41
60351007,769,45
60351008,431,25
60351009,296,16
60351010,717,25
60351011,584,66
60351012,626,21
60351101,492,87
60351102,803,169
60351103,445,65
60351104,756,74
60351105,1307,67
60351106,816,56
60351107,288,56
60351108,830,98
60351109,538,23
60351110,799,37
60351201,627,26
